conv_channels,kernel_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
2,1,0.000462258900102083,0.00021233911067827617,200,32,0.7773584905660378,0.6842105263157895,0.8,0.21634039282798767,48
4,1,2.5081156860452307e-05,0.0005142344384136116,200,16,0.7660377358490567,0.5789473684210527,0.68,0.2265813797712326,112
4,5,1.7541893487450798e-05,0.0004951769101112702,100,16,0.6716981132075471,0.7894736842105263,0.8133333333333334,0.186101034283638,98
2,1,0.0001569639638866114,0.0009218742350231169,100,64,0.6641509433962264,0.5526315789473685,0.68,0.24703334271907806,100
2,3,1.4096175149815848e-05,0.0009868869366005174,200,16,0.6792452830188679,0.631578947368421,0.6533333333333333,0.2321440726518631,200
1,1,4.589824181495648e-05,6.355835028602363e-05,100,16,0.5886792452830188,0.4473684210526316,0.5466666666666666,0.2937759459018707,100
4,3,0.00011103647313054615,0.00042754101835854963,100,64,0.7396226415094339,0.7105263157894737,0.6533333333333333,0.22833073139190674,89
2,1,3.797544798678414e-05,0.00016122128725400443,50,16,0.5358490566037736,0.5,0.49333333333333335,0.30373677611351013,50
1,1,2.8567374298471872e-05,0.00042710778862625634,50,16,0.5169811320754717,0.34210526315789475,0.5066666666666667,0.3345959186553955,50
2,1,5.336533066379606e-05,0.0009717820827209606,200,64,0.6,0.5263157894736842,0.6,0.2713388502597809,200
4,5,1.0708868272561717e-05,0.0006902470735691452,100,32,0.6188679245283019,0.7631578947368421,0.76,0.19069716334342957,100
4,5,1.0406908800547327e-05,0.0006971558983400945,100,32,0.6113207547169811,0.7368421052631579,0.7466666666666667,0.1911415457725525,100
4,5,1.0524122425076822e-05,0.0006935547910049335,100,32,0.6113207547169811,0.7631578947368421,0.7466666666666667,0.1909611076116562,100
4,5,0.0008576989810578198,0.0006545878414889458,100,32,0.7433962264150943,0.7894736842105263,0.8,0.17858974635601044,7
4,5,0.0009244126394364708,0.0005182569961396609,100,32,0.7396226415094339,0.7894736842105263,0.8,0.17799650132656097,7
4,5,0.0009881169898494021,0.0006014747563905536,100,32,0.7622641509433963,0.7894736842105263,0.8,0.1777309775352478,7
1,5,0.0002934527953683034,0.0002893853823038999,50,32,0.4981132075471698,0.631578947368421,0.6666666666666666,0.21993571519851685,19
4,5,0.0009875277847317364,0.0007946453641120889,100,32,0.7622641509433963,0.7894736842105263,0.8,0.17773781716823578,7
4,5,0.0004496448242471308,0.0008503720351396762,100,32,0.7320754716981132,0.7894736842105263,0.8133333333333334,0.17976218461990356,12
4,3,0.00022918880529402543,0.0007709787512783827,50,32,0.7849056603773585,0.6578947368421053,0.7066666666666667,0.2200724184513092,37
1,5,0.000551132475128408,0.0008132213798966206,100,32,0.7320754716981132,0.6052631578947368,0.8,0.21607740223407745,54
4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7622641509433963,0.7894736842105263,0.8,0.17772027850151062,7
4,5,0.0006812028492229634,0.0005936728760859427,100,32,0.7773584905660378,0.8421052631578947,0.84,0.17961233854293823,12
4,5,0.00032447902691342827,0.0006227228825073231,100,32,0.7433962264150943,0.7631578947368421,0.8,0.1812857687473297,19
4,5,0.0009938214228247914,0.000766815552130529,100,32,0.7622641509433963,0.7894736842105263,0.8,0.17772863805294037,7
4,5,0.00062841306963163,0.0003750930147731977,100,64,0.7735849056603774,0.7894736842105263,0.8,0.17889375984668732,20
4,3,0.000365489115902591,0.00059704467503944,100,32,0.8075471698113208,0.631578947368421,0.72,0.21915455162525177,26
4,5,0.00021637479792911883,0.0008786270065830332,100,32,0.7396226415094339,0.7894736842105263,0.8133333333333334,0.18146449327468872,26
1,5,0.0006901450470952095,0.0007427452021213538,200,32,0.7169811320754716,0.6052631578947368,0.7733333333333333,0.21659798920154572,35
4,5,0.0004642280090890584,0.0005630378749976849,50,32,0.7396226415094339,0.7894736842105263,0.8133333333333334,0.1795964539051056,12
