conv_channels,kernel_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
2,1,0.000462258900102083,0.00021233911067827617,200,32,0.6730769230769231,0.6756756756756757,0.64,0.22819265723228455,68
4,1,2.5081156860452307e-05,0.0005142344384136116,200,16,0.7153846153846154,0.6486486486486487,0.6,0.22752586007118225,196
4,5,1.7541893487450798e-05,0.0004951769101112702,100,16,0.5,0.4864864864864865,0.49333333333333335,0.3120766878128052,100
2,1,0.0001569639638866114,0.0009218742350231169,100,64,0.6153846153846154,0.5135135135135135,0.6266666666666667,0.2565326690673828,100
2,3,1.4096175149815848e-05,0.0009868869366005174,200,16,0.6346153846153846,0.7027027027027027,0.6666666666666666,0.22375209629535675,200
1,1,4.589824181495648e-05,6.355835028602363e-05,100,16,0.573076923076923,0.6756756756756757,0.52,0.1901719719171524,100
4,3,0.00011103647313054615,0.00042754101835854963,100,64,0.7038461538461539,0.6756756756756757,0.6,0.23391719162464142,100
2,1,3.797544798678414e-05,0.00016122128725400443,50,16,0.6076923076923076,0.5135135135135135,0.6533333333333333,0.28606003522872925,50
1,1,2.8567374298471872e-05,0.00042710778862625634,50,16,0.55,0.5945945945945946,0.5066666666666667,0.19786140322685242,50
2,1,5.336533066379606e-05,0.0009717820827209606,200,64,0.6076923076923076,0.5135135135135135,0.64,0.2695629894733429,200
1,5,0.00030039523655512294,3.872519996118317e-05,100,32,0.6653846153846154,0.5945945945945946,0.6533333333333333,0.269225150346756,100
1,1,6.014866392501773e-05,0.0006971558983400945,50,16,0.5576923076923077,0.7027027027027027,0.5333333333333333,0.19265058636665344,44
1,1,6.825122453657849e-05,0.0006985571492027837,50,16,0.5576923076923077,0.7027027027027027,0.5333333333333333,0.19173438847064972,42
1,1,0.00018988464412133185,0.0007148375865432508,50,16,0.5961538461538461,0.7027027027027027,0.5466666666666666,0.18904615938663483,42
1,5,0.0008607419445086112,0.0007517641230374652,100,16,0.7346153846153847,0.6756756756756757,0.6133333333333333,0.23547087609767914,49
1,3,0.00019822704632720378,0.00030943144847001653,50,32,0.5923076923076923,0.6216216216216216,0.5066666666666667,0.22234728932380676,50
1,1,0.0001025359187161249,0.0008303620521449383,50,16,0.5576923076923077,0.7027027027027027,0.5333333333333333,0.18906110525131226,42
1,1,0.00010840942739958747,0.0008046531088881414,50,16,0.5653846153846154,0.7027027027027027,0.5333333333333333,0.1888079196214676,42
1,5,0.0003327528914795915,0.0005995018382569194,50,64,0.47307692307692306,0.43243243243243246,0.56,0.32049277424812317,50
1,3,0.00018140837457893843,0.0008596498751955511,50,32,0.5923076923076923,0.6216216216216216,0.5066666666666667,0.22437801957130432,50
4,1,0.0006166198837224582,0.0006193709511480508,50,16,0.7461538461538462,0.6756756756756757,0.6,0.22725529968738556,14
1,1,0.00011677727790611903,0.000819619839502448,50,16,0.5769230769230769,0.7027027027027027,0.5466666666666666,0.18853192031383514,42
1,1,0.00012767321678760834,0.0007960911807236458,50,16,0.5769230769230769,0.7297297297297297,0.56,0.18830659985542297,42
1,1,8.436582482162118e-05,0.000822767330548399,50,16,0.5538461538461539,0.7027027027027027,0.5333333333333333,0.1901995986700058,42
1,1,0.00010949329932416026,0.0008910781002117526,50,16,0.5692307692307692,0.7027027027027027,0.5466666666666666,0.1887667030096054,42
1,1,0.0002675358424142951,0.0009035089018908087,50,16,0.5769230769230769,0.7027027027027027,0.5333333333333333,0.19002078473567963,22
1,1,0.000129103064385244,0.0006261165583944927,50,16,0.5807692307692308,0.7297297297297297,0.5466666666666666,0.18828749656677246,42
1,1,0.00014446478798728108,0.0006070081777087583,50,16,0.573076923076923,0.7027027027027027,0.5466666666666666,0.18821243941783905,42
4,5,0.00015045606056410084,0.0006160445574756133,50,32,0.6115384615384616,0.5135135135135135,0.5866666666666667,0.2526869773864746,50
1,3,0.0004243445490616029,0.0005605860628702814,200,64,0.6384615384615384,0.7297297297297297,0.5466666666666666,0.2012859731912613,132
