dataset,conv_channels,kernel_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
// The first 4 lines correspond to the best hyperparameters for each dataset
nadia,4,1,0.0009971647591754261,0.00023804468736413558,200,32,0.696319018404908,0.7021276595744681,0.7311827956989247,0.1678539663553238,17
thomas,2,1,0.0005820017294806012,0.0008310914269518085,50,32,0.6861924686192469,0.7352941176470589,0.6521739130434783,0.18727876245975494,23
boai,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7622641509433963,0.7894736842105263,0.8,0.17772027850151062,7
full,1,1,0.00014446478798728108,0.0006070081777087583,50,16,0.573076923076923,0.7027027027027027,0.5466666666666666,0.18821243941783905,42
// The rest of the lines correspond to the results for each dataset using boai's hyperparameters for 10 different seeds
nadia,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7269938650306749,0.7446808510638298,0.7096774193548387,0.17708441615104675,92
thomas,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7112970711297071,0.7058823529411765,0.6521739130434783,0.18946097791194916,43
boai,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7622641509433963,0.7894736842105263,0.8,0.17772027850151062,7
full,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7269230769230769,0.7297297297297297,0.64,0.21445214748382568,18
nadia,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7147239263803681,0.6808510638297872,0.6989247311827957,0.20018334686756134,18
thomas,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7154811715481172,0.5,0.6376811594202898,0.2848775386810303,17
boai,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.8113207547169812,0.7368421052631579,0.7866666666666666,0.21301375329494476,24
full,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.6961538461538461,0.7027027027027027,0.49333333333333335,0.2162981778383255,37
nadia,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7055214723926381,0.7872340425531915,0.6666666666666666,0.17528027296066284,15
thomas,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7071129707112971,0.6764705882352942,0.6231884057971014,0.2100340723991394,37
boai,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.8,0.7894736842105263,0.68,0.17124438285827637,13
full,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7269230769230769,0.6216216216216216,0.6933333333333334,0.24199776351451874,63
nadia,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7147239263803681,0.6808510638297872,0.6559139784946236,0.207003653049469,32
thomas,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7196652719665272,0.7352941176470589,0.6811594202898551,0.19970615208148956,21
boai,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.8377358490566038,0.6842105263157895,0.7066666666666667,0.2127905637025833,18
full,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.6307692307692307,0.5675675675675675,0.49333333333333335,0.27537965774536133,4
nadia,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7024539877300614,0.7021276595744681,0.7311827956989247,0.2174808382987976,7
thomas,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7071129707112971,0.6176470588235294,0.6521739130434783,0.22745028138160706,12
boai,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.8150943396226416,0.6842105263157895,0.6933333333333334,0.18243777751922607,26
full,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7,0.7027027027027027,0.6133333333333333,0.2178494930267334,31
nadia,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7484662576687117,0.5957446808510638,0.6344086021505376,0.22454480826854706,18
thomas,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.6401673640167364,0.7647058823529411,0.6376811594202898,0.2011052817106247,5
boai,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.8339622641509434,0.6578947368421053,0.6533333333333333,0.21716909110546112,37
full,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.5807692307692308,0.7297297297297297,0.5333333333333333,0.20389005541801453,3
nadia,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7361963190184049,0.6170212765957447,0.6451612903225806,0.21975567936897278,30
thomas,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7698744769874477,0.6764705882352942,0.5507246376811594,0.18457093834877014,43
boai,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7962264150943397,0.7105263157894737,0.7466666666666667,0.21417494118213654,18
full,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7076923076923077,0.6216216216216216,0.68,0.218505397439003,22
nadia,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.6993865030674846,0.723404255319149,0.6881720430107527,0.18926377594470978,23
thomas,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7322175732217573,0.6176470588235294,0.7246376811594203,0.228109672665596,26
boai,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.8,0.631578947368421,0.6933333333333334,0.23842816054821014,14
full,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.5807692307692308,0.5945945945945946,0.6666666666666666,0.23084768652915955,4
nadia,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7300613496932515,0.723404255319149,0.6344086021505376,0.1844175159931183,32
thomas,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.702928870292887,0.7352941176470589,0.6231884057971014,0.22124043107032776,16
boai,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.8075471698113208,0.7368421052631579,0.72,0.21745836734771729,8
full,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.75,0.6486486486486487,0.6133333333333333,0.20798493921756744,64
nadia,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7300613496932515,0.6382978723404256,0.7204301075268817,0.21123239398002625,31
thomas,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7238493723849372,0.6764705882352942,0.5652173913043478,0.20712433755397797,18
boai,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7886792452830189,0.6578947368421053,0.68,0.2161608785390854,10
full,4,5,0.000997237527168355,0.0005895374498936983,100,32,0.7115384615384616,0.7027027027027027,0.6533333333333333,0.19278331100940704,16
// The average test accuracy for each dataset using boai's hyperparameters are: 0.678495, 0.634783, 0.716000, 0.608000
