conv_channels,kernel_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
2,1,0.000462258900102083,0.00021233911067827617,200,32,0.6961538461538461,0.8108108108108109,0.64,0.19221872091293335,22
4,1,2.5081156860452307e-05,0.0005142344384136116,200,16,0.6730769230769231,0.8108108108108109,0.56,0.19671663641929626,76
4,5,1.7541893487450798e-05,0.0004951769101112702,100,16,0.7269230769230769,0.7027027027027027,0.6133333333333333,0.19656747579574585,97
2,1,0.0001569639638866114,0.0009218742350231169,100,64,0.676923076923077,0.7837837837837838,0.6,0.19863800704479218,60
2,3,1.4096175149815848e-05,0.0009868869366005174,200,16,0.6653846153846154,0.7837837837837838,0.6,0.20143233239650726,197
1,1,4.589824181495648e-05,6.355835028602363e-05,100,16,0.6576923076923077,0.6486486486486487,0.5866666666666667,0.22859898209571838,99
4,3,0.00011103647313054615,0.00042754101835854963,100,64,0.6576923076923077,0.7027027027027027,0.5466666666666666,0.1923486441373825,46
2,1,3.797544798678414e-05,0.00016122128725400443,50,16,0.6576923076923077,0.7837837837837838,0.5733333333333334,0.2016334980726242,50
1,1,2.8567374298471872e-05,0.00042710778862625634,50,16,0.48846153846153845,0.4594594594594595,0.6,0.2781750559806824,50
2,1,5.336533066379606e-05,0.0009717820827209606,200,64,0.6884615384615385,0.7297297297297297,0.6133333333333333,0.19691449403762817,197
2,5,0.0006527969516700404,0.00023247315077141087,200,32,0.7115384615384616,0.7837837837837838,0.6133333333333333,0.18904267251491547,21
2,5,0.0007180493340227154,0.00024042109084244185,200,32,0.7115384615384616,0.7837837837837838,0.6266666666666667,0.18856605887413025,21
2,5,0.0009725246880332398,0.00027312786263691585,200,32,0.7076923076923077,0.7297297297297297,0.6133333333333333,0.18876905739307404,12
2,5,0.0009870935191407407,0.0006768180580956149,200,32,0.7115384615384616,0.7297297297297297,0.6133333333333333,0.18884111940860748,12
2,5,0.0002681849631144083,4.0518992109138516e-06,200,32,0.6961538461538461,0.7567567567567568,0.5866666666666667,0.19287177920341492,50
1,5,0.0003772758822971381,0.00031003722710560156,200,32,0.6807692307692308,0.7027027027027027,0.6,0.19718781113624573,37
2,5,0.000997572007287782,0.0006512279310422991,50,32,0.7115384615384616,0.7297297297297297,0.6133333333333333,0.1888936311006546,12
2,5,0.00021063979781445145,0.0003248862539580495,200,32,0.6846153846153846,0.7297297297297297,0.5866666666666667,0.19331702589988708,50
1,5,0.0004874485416927887,9.905519616567918e-05,200,32,0.6846153846153846,0.7837837837837838,0.64,0.19732309877872467,20
4,3,8.353806964244925e-05,0.0002917988889127032,50,32,0.6730769230769231,0.7297297297297297,0.5466666666666666,0.19302451610565186,44
2,5,0.0006769548314534061,0.0006438213784070335,200,32,0.7115384615384616,0.7837837837837838,0.6133333333333333,0.18885943293571472,21
2,5,0.0009971989458832549,0.0007964786889421048,200,32,0.7115384615384616,0.7297297297297297,0.6133333333333333,0.18889416754245758,12
2,5,0.0006793713288107162,0.0006497449623925605,200,32,0.7115384615384616,0.7837837837837838,0.6133333333333333,0.18884135782718658,21
2,5,0.0003178102822376441,0.0007471731493688843,200,32,0.7076923076923077,0.7837837837837838,0.6,0.19289784133434296,50
2,5,0.0009973417627288407,0.0003906817244429486,200,32,0.7115384615384616,0.7297297297297297,0.6133333333333333,0.18888795375823975,12
2,5,0.0006271151426691051,0.0005747597619954539,200,64,0.6807692307692308,0.7567567567567568,0.6133333333333333,0.19366402924060822,22
2,3,0.0002340038390581165,0.0007929947995359713,200,32,0.7269230769230769,0.8108108108108109,0.68,0.19939173758029938,39
2,5,0.0004395589585673827,0.00015051686118038696,200,32,0.7423076923076923,0.7567567567567568,0.6533333333333333,0.19089137017726898,39
4,5,0.000731368534283688,0.00024943381016139096,100,32,0.7076923076923077,0.7297297297297297,0.5733333333333334,0.1952313333749771,3
1,5,0.0004945358947331196,0.00037340185396971654,50,32,0.6846153846153846,0.7837837837837838,0.64,0.19715508818626404,20
