dataset,conv_channels,kernel_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
// The first 4 lines correspond to the best hyperparameters for each dataset
nadia,4,3,0.0005690752575018967,0.0007235869649077679,100,64,0.7116564417177914,0.7446808510638298,0.7204301075268817,0.15693342685699463,29
thomas,4,1,0.00024310061601360376,0.00040096623765224955,200,16,0.6736401673640168,0.7647058823529411,0.5797101449275363,0.18487660586833954,3
boai,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7584905660377359,0.7631578947368421,0.8533333333333334,0.17149701714515686,19
full,2,5,0.0007180493340227154,0.00024042109084244185,200,32,0.7115384615384616,0.7837837837837838,0.6266666666666667,0.18856605887413025,21
// The rest of the lines correspond to the results for each dataset using boai's hyperparameters for 10 different seeds
nadia,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7300613496932515,0.7446808510638298,0.7419354838709677,0.17298176884651184,36
thomas,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6736401673640168,0.6470588235294118,0.6376811594202898,0.1964375078678131,5
boai,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7584905660377359,0.7631578947368421,0.8533333333333334,0.17149701714515686,19
full,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6576923076923077,0.8378378378378378,0.6533333333333333,0.18635694682598114,12
nadia,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7116564417177914,0.7021276595744681,0.7311827956989247,0.18535396456718445,10
thomas,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6234309623430963,0.6764705882352942,0.5942028985507246,0.23886781930923462,3
boai,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.8037735849056604,0.8157894736842105,0.7733333333333333,0.15509484708309174,37
full,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7076923076923077,0.6486486486486487,0.5466666666666666,0.23391051590442657,42
nadia,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6840490797546013,0.7659574468085106,0.6559139784946236,0.17416410148143768,45
thomas,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6652719665271967,0.6764705882352942,0.6086956521739131,0.20844769477844238,14
boai,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7849056603773585,0.7105263157894737,0.7733333333333333,0.18468855321407318,50
full,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6038461538461538,0.6486486486486487,0.6133333333333333,0.22697141766548157,35
nadia,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7024539877300614,0.6595744680851063,0.6881720430107527,0.20202648639678955,13
thomas,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6485355648535565,0.6470588235294118,0.6086956521739131,0.17816399037837982,6
boai,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.8,0.7105263157894737,0.7866666666666666,0.18792812526226044,10
full,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6192307692307693,0.4594594594594595,0.5333333333333333,0.27595335245132446,6
nadia,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6380368098159509,0.574468085106383,0.8172043010752689,0.23356086015701294,3
thomas,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6778242677824268,0.7058823529411765,0.5942028985507246,0.22510772943496704,2
boai,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.8566037735849057,0.7105263157894737,0.8133333333333334,0.1629410982131958,38
full,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7307692307692307,0.7027027027027027,0.6266666666666667,0.23265676200389862,20
nadia,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7361963190184049,0.6808510638297872,0.6236559139784946,0.19920046627521515,13
thomas,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6401673640167364,0.7352941176470589,0.6521739130434783,0.1892371028661728,8
boai,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.8075471698113208,0.8157894736842105,0.8266666666666667,0.13441994786262512,16
full,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.5384615384615384,0.6216216216216216,0.5733333333333334,0.21802443265914917,4
nadia,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7085889570552147,0.6595744680851063,0.6774193548387096,0.19970086216926575,32
thomas,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7364016736401674,0.7647058823529411,0.5942028985507246,0.20395655930042267,48
boai,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.769811320754717,0.8157894736842105,0.7466666666666667,0.18718238174915314,26
full,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6461538461538462,0.5945945945945946,0.6133333333333333,0.22314517199993134,35
nadia,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7055214723926381,0.7021276595744681,0.6559139784946236,0.1904933601617813,34
thomas,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6108786610878661,0.7941176470588235,0.6521739130434783,0.19707970321178436,6
boai,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.8037735849056604,0.8157894736842105,0.72,0.18473327159881592,16
full,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6653846153846154,0.6486486486486487,0.76,0.22747668623924255,9
nadia,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7147239263803681,0.7446808510638298,0.6774193548387096,0.16902197897434235,25
thomas,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6694560669456067,0.5588235294117647,0.6666666666666666,0.22812967002391815,21
boai,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7396226415094339,0.6842105263157895,0.7066666666666667,0.24381586909294128,13
full,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7307692307692307,0.7027027027027027,0.5866666666666667,0.19782178103923798,45
nadia,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7392638036809815,0.7446808510638298,0.6881720430107527,0.19395989179611206,5
thomas,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.6736401673640168,0.7647058823529411,0.6086956521739131,0.19072860479354858,9
boai,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.8377358490566038,0.6842105263157895,0.7866666666666666,0.20289719104766846,17
full,2,1,0.000996458501564116,0.0009035089018908087,50,64,0.7115384615384616,0.7567567567567568,0.7066666666666667,0.18348929286003113,6
// The average test accuracy for each dataset using boai's hyperparameters are: 0.695699, 0.621739, 0.778667, 0.621333 
