conv_channels,kernel_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
2,1,0.000462258900102083,0.00021233911067827617,200,32,0.6569037656903766,0.6470588235294118,0.5942028985507246,0.19546343386173248,4
4,1,2.5081156860452307e-05,0.0005142344384136116,200,16,0.6694560669456067,0.6764705882352942,0.5797101449275363,0.18719136714935303,20
4,5,1.7541893487450798e-05,0.0004951769101112702,100,16,0.6736401673640168,0.6176470588235294,0.6086956521739131,0.19849997758865356,31
2,1,0.0001569639638866114,0.0009218742350231169,100,64,0.6569037656903766,0.6764705882352942,0.6231884057971014,0.19723142683506012,16
2,3,1.4096175149815848e-05,0.0009868869366005174,200,16,0.6485355648535565,0.6176470588235294,0.6231884057971014,0.1923200935125351,58
1,1,4.589824181495648e-05,6.355835028602363e-05,100,16,0.6778242677824268,0.6764705882352942,0.6231884057971014,0.19002340734004974,82
4,3,0.00011103647313054615,0.00042754101835854963,100,64,0.6569037656903766,0.6764705882352942,0.6086956521739131,0.19204984605312347,17
2,1,3.797544798678414e-05,0.00016122128725400443,50,16,0.6694560669456067,0.7058823529411765,0.6231884057971014,0.19891954958438873,22
1,1,2.8567374298471872e-05,0.00042710778862625634,50,16,0.6234309623430963,0.7058823529411765,0.4492753623188406,0.2185315191745758,50
2,1,5.336533066379606e-05,0.0009717820827209606,200,64,0.6778242677824268,0.7058823529411765,0.6086956521739131,0.19873014092445374,47
4,5,0.00030039523655512294,0.0007331983444045203,200,32,0.6778242677824268,0.6176470588235294,0.6231884057971014,0.19257618486881256,3
1,1,6.717122531410571e-05,1.720166191768543e-05,100,16,0.6778242677824268,0.6764705882352942,0.6376811594202898,0.190012589097023,59
1,1,1.0570994227179623e-05,0.0007254762460616494,200,16,0.6820083682008368,0.7352941176470589,0.5942028985507246,0.19737555086612701,200
1,1,8.657857585898335e-05,0.0003027240901490871,100,16,0.6820083682008368,0.6764705882352942,0.6376811594202898,0.18998946249485016,46
4,5,0.0008607419445086112,0.00031080168861702666,50,16,0.7071129707112971,0.6176470588235294,0.6231884057971014,0.1995636224746704,7
1,3,2.238633598908608e-05,0.0006446736852680856,100,32,0.6694560669456067,0.7647058823529411,0.5942028985507246,0.20826786756515503,100
4,1,0.0001828810418076092,0.00030943818730162884,200,16,0.6485355648535565,0.6176470588235294,0.6376811594202898,0.18776088953018188,3
4,1,0.00021063979781445145,0.0003323729141034479,200,16,0.6485355648535565,0.6176470588235294,0.5942028985507246,0.18616747856140137,3
4,5,0.0003113094425196727,0.0005995018382569194,200,64,0.6610878661087866,0.6176470588235294,0.6086956521739131,0.19139207899570465,6
4,3,0.00015422245911782668,0.000567187237929033,200,32,0.6485355648535565,0.6470588235294118,0.5942028985507246,0.18969519436359406,7
4,1,0.000551132475128408,0.0008007800878516188,200,16,0.6736401673640168,0.6764705882352942,0.5797101449275363,0.19062292575836182,7
4,1,0.0002003962552024278,0.0003227894506698616,200,16,0.6652719665271967,0.6176470588235294,0.6376811594202898,0.1871097832918167,3
4,1,0.00022453387796949416,0.0004161551095384425,200,16,0.6778242677824268,0.6470588235294118,0.5942028985507246,0.18491756916046143,3
4,1,0.00024310061601360376,0.00040096623765224955,200,16,0.6736401673640168,0.7647058823529411,0.5797101449275363,0.18487660586833954,3
4,1,0.00029383891382978874,0.00040818731385541693,200,16,0.6736401673640168,0.7058823529411765,0.5797101449275363,0.18569497764110565,2
4,1,0.00033557023159008667,0.000422598775861873,200,16,0.702928870292887,0.6470588235294118,0.6086956521739131,0.19260632991790771,14
4,1,0.0008028477232285081,0.00020462666791991595,50,16,0.6778242677824268,0.6470588235294118,0.6376811594202898,0.19881777465343475,3
4,1,0.0004996604638127286,0.00047116622622810653,200,16,0.6694560669456067,0.6764705882352942,0.5797101449275363,0.190217524766922,7
4,5,0.00011539627850645663,0.0003691672666949827,200,32,0.6527196652719666,0.6764705882352942,0.5652173913043478,0.19458730518817902,6
4,3,0.00029912978233282984,0.0002323126625586655,200,64,0.6778242677824268,0.6470588235294118,0.5942028985507246,0.190255805850029,8
