dataset,hidden_size,hidden2_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
// The first 4 lines correspond to the best hyperparameters for each dataset
nadia,8,8,0.0007160392966260346,0.0003971039158381317,200,64,0.7607361963190185,0.7659574468085106,0.7311827956989247,0.14837338030338287,72
thomas,8,0,0.000462258900102083,0.00021233911067827617,200,32,0.7238493723849372,0.6470588235294118,0.6376811594202898,0.19880665838718414,28
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8490566037735849,0.868421052631579,0.88,0.14224940538406372,139
full,8,0,0.000462258900102083,0.00021233911067827617,200,32,0.8384615384615385,0.6216216216216216,0.7066666666666667,0.2073141634464264,74
// The rest of the lines correspond to the results for each dataset using boai's hyperparameters for 10 different seeds
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7576687116564417,0.7872340425531915,0.7204301075268817,0.15179438889026642,200
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7364016736401674,0.5882352941176471,0.7101449275362319,0.20899811387062073,200
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8490566037735849,0.868421052631579,0.88,0.14224940538406372,139
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7538461538461538,0.5135135135135135,0.64,0.2541063725948334,197
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.754601226993865,0.7021276595744681,0.7849462365591398,0.1804438680410385,165
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7071129707112971,0.5882352941176471,0.6811594202898551,0.27846968173980713,198
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8981132075471698,0.8947368421052632,0.8133333333333334,0.12753020226955414,200
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7653846153846153,0.6216216216216216,0.5466666666666666,0.2237478792667389,139
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7208588957055214,0.6382978723404256,0.7096774193548387,0.19963163137435913,190
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7447698744769874,0.7058823529411765,0.6811594202898551,0.22095994651317596,200
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.9169811320754717,0.9210526315789473,0.7066666666666667,0.12080000340938568,200
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.6538461538461539,0.6486486486486487,0.68,0.31170719861984253,200
nadia,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7423312883435583,0.6382978723404256,0.6666666666666666,0.21648383140563965,200
thomas,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.7364016736401674,0.7058823529411765,0.5797101449275363,0.19143258035182953,200
boai,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.9056603773584906,0.7368421052631579,0.7333333333333333,0.17974655330181122,200
full,16,8,7.04786077720735e-05,0.0008678511006266333,200,32,0.8,0.5135135135135135,0.7066666666666667,0.27538764476776123,170
