hidden_size,hidden2_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
8,0,0.000462258900102083,0.00021233911067827617,200,32,0.7238493723849372,0.6470588235294118,0.6376811594202898,0.19880665838718414,28
16,0,2.5081156860452307e-05,0.0005142344384136116,200,16,0.694560669456067,0.6764705882352942,0.6376811594202898,0.2049872726202011,93
16,8,1.7541893487450798e-05,0.0004951769101112702,100,16,0.6108786610878661,0.5882352941176471,0.6521739130434783,0.24782848358154297,100
8,0,0.0001569639638866114,0.0009218742350231169,100,64,0.6903765690376569,0.6176470588235294,0.6521739130434783,0.2031790316104889,100
8,4,1.4096175149815848e-05,0.0009868869366005174,200,16,0.47280334728033474,0.5,0.5942028985507246,1.0086876153945923,200
4,0,4.589824181495648e-05,6.355835028602363e-05,100,16,0.47280334728033474,0.5,0.5942028985507246,0.9500911831855774,100
16,4,0.00011103647313054615,0.00042754101835854963,100,64,0.47280334728033474,0.5,0.5942028985507246,0.7773584723472595,100
8,0,3.797544798678414e-05,0.00016122128725400443,50,16,0.6359832635983264,0.6764705882352942,0.6231884057971014,0.22253379225730896,50
4,0,2.8567374298471872e-05,0.00042710778862625634,50,16,0.47280334728033474,0.5,0.5942028985507246,1.3458545207977295,50
8,0,5.336533066379606e-05,0.0009717820827209606,200,64,0.6820083682008368,0.6176470588235294,0.6231884057971014,0.20844443142414093,200
8,8,0.0006527969516700404,0.00023247315077141087,200,32,0.8702928870292888,0.7352941176470589,0.7536231884057971,0.1988215148448944,198
8,8,0.0007180493340227154,0.00024042109084244185,200,32,0.8744769874476988,0.7058823529411765,0.7246376811594203,0.21079249680042267,175
8,8,0.000864862589981118,0.0002712071677206096,200,32,0.8786610878661087,0.7352941176470589,0.7246376811594203,0.19960756599903107,154
8,8,0.0003214881669308758,0.0006768180580956149,200,32,0.803347280334728,0.6470588235294118,0.7536231884057971,0.23340456187725067,200
8,8,0.00034181449493551083,3.53694372192236e-06,200,32,0.8200836820083682,0.6764705882352942,0.7536231884057971,0.2297149896621704,200
4,4,0.0003944479816467623,0.00031003722710560156,200,32,0.7112970711297071,0.6470588235294118,0.6956521739130435,0.21373885869979858,59
8,8,0.0001904289352345823,0.00014650332808006363,50,32,0.4811715481171548,0.5,0.6086956521739131,0.5369133949279785,50
8,8,0.000555084853206397,0.00033788784257749203,200,32,0.8535564853556485,0.7058823529411765,0.7391304347826086,0.20717853307724,199
4,0,0.0009935074801061283,0.000650526134422108,200,32,0.7615062761506276,0.6764705882352942,0.6811594202898551,0.23018762469291687,131
16,4,0.00020950697759902174,0.0001645516660962846,50,32,0.47280334728033474,0.5,0.5942028985507246,0.5956969261169434,50
8,8,7.481534382760812e-05,0.0006438213784070335,200,32,0.6610878661087866,0.6470588235294118,0.6666666666666666,0.354446142911911,200
8,8,0.0009966936426778735,0.0002819567113553829,200,32,0.8744769874476988,0.7058823529411765,0.7681159420289855,0.20097456872463226,128
8,8,0.0005597459487968553,0.00023973810410879534,200,32,0.8451882845188284,0.6764705882352942,0.7391304347826086,0.20916248857975006,200
8,8,0.0005423319595761638,9.455581270464725e-05,200,32,0.8493723849372385,0.7352941176470589,0.7391304347826086,0.20574626326560974,198
8,8,0.0002600806465251603,0.00037390747278111253,200,32,0.7740585774058577,0.6470588235294118,0.7246376811594203,0.2420041710138321,200
8,0,0.0007223855813428655,0.00023912114389935496,200,64,0.7196652719665272,0.6764705882352942,0.6376811594202898,0.20121847093105316,27
8,8,0.00044146441598616205,2.0659359160662575e-05,200,32,0.8410041841004184,0.7058823529411765,0.7536231884057971,0.21016085147857666,200
8,8,0.00012755875800203885,0.0005313883119784129,200,32,0.7112970711297071,0.6176470588235294,0.6521739130434783,0.28845667839050293,200
16,4,0.0007086133606872421,0.00018821067904202602,100,32,0.7824267782426778,0.6764705882352942,0.6521739130434783,0.24511948227882385,100
4,0,0.0002585720971580395,0.0004012593129815085,50,64,0.47280334728033474,0.5,0.5942028985507246,1.0435971021652222,50
