dataset,hidden_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
// The first 4 lines correspond to the best hyperparameters for each dataset
nadia,16,0.0004693367448801117,0.0005025396232209735,50,16,0.7085889570552147,0.7446808510638298,0.6881720430107527,0.16127870976924896,22
thomas,8,0.00048580213095083115,0.0008196058103255612,200,64,0.7322175732217573,0.6176470588235294,0.6811594202898551,0.2118658572435379,65
boai,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.18001975119113922,7
full,16,0.0009966442661439388,0.00042640402658470364,50,16,0.7115384615384616,0.7297297297297297,0.6133333333333333,0.18516525626182556,5
// The rest of the lines correspond to the results for each dataset using boai's hyperparameters for 10 different seeds
nadia,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7147239263803681,0.7446808510638298,0.7419354838709677,0.1704735904932022,22
thomas,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7196652719665272,0.6176470588235294,0.6086956521739131,0.25159817934036255,99
boai,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7358490566037735,0.7368421052631579,0.8533333333333334,0.18001975119113922,7
full,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7153846153846154,0.6216216216216216,0.64,0.2715977728366852,51
nadia,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7177914110429447,0.6595744680851063,0.6774193548387096,0.22582997381687164,57
thomas,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7531380753138075,0.5,0.6521739130434783,0.31049370765686035,53
boai,4,0.0006673438249659347,0.0004397834489211582,100,16,0.8037735849056604,0.7368421052631579,0.76,0.20999883115291595,29
full,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7653846153846153,0.5675675675675675,0.5333333333333333,0.25319531559944153,100
nadia,4,0.0006673438249659347,0.0004397834489211582,100,16,0.6809815950920245,0.8085106382978723,0.7419354838709677,0.1744426190853119,14
thomas,4,0.0006673438249659347,0.0004397834489211582,100,16,0.7280334728033473,0.6470588235294118,0.6521739130434783,0.20051898062229156,22
boai,4,0.0006673438249659347,0.0004397834489211582,100,16,0.8377358490566038,0.7368421052631579,0.6266666666666667,0.16649961471557617,17
