hidden_size,lr,weight_decay,epochs,batch_size,train_acc,val_acc,test_acc,best_val_loss,best_epoch
8,1.0994335574766187e-05,0.0009699098521619943,50,16,0.47280334728033474,0.5,0.5942028985507246,0.7686705589294434,50
4,3.8396292998041685e-05,0.0003663618432936917,100,32,0.5564853556485355,0.5588235294117647,0.6231884057971014,0.3830173909664154,100
8,0.0008536189862866829,0.0008083973481164612,200,64,0.8326359832635983,0.6176470588235294,0.6376811594202898,0.3187897205352783,104
16,4.201672054372529e-05,0.0005200680211778109,50,32,0.4769874476987448,0.5,0.6086956521739131,0.3998209536075592,50
16,1.2315571723666024e-05,0.00032533033076326436,50,16,0.47280334728033474,0.5,0.6086956521739131,0.44380155205726624,50
16,0.0003503398491158688,0.0001987156815341724,200,32,0.7573221757322176,0.6176470588235294,0.6086956521739131,0.2627381682395935,45
8,4.589824181495648e-05,6.355835028602363e-05,100,16,0.5648535564853556,0.5,0.6086956521739131,0.5031623244285583,100
16,0.0003482846706526881,0.0004937955963643907,100,16,0.7615062761506276,0.6176470588235294,0.6231884057971014,0.24965061247348785,29
4,6.618595597183474e-05,0.0007555511385430487,100,32,0.6401673640167364,0.6470588235294118,0.6376811594202898,0.358289897441864,100
16,0.0006097025297491432,0.0005393422419156508,50,16,0.7949790794979079,0.5882352941176471,0.6086956521739131,0.24717950820922852,20
32,0.00019036906911441888,0.0006400885024675561,50,64,0.6443514644351465,0.6176470588235294,0.6521739130434783,0.3787666857242584,50
16,0.0008446219046250065,0.000526592055394477,100,16,0.7740585774058577,0.5882352941176471,0.6231884057971014,0.24564990401268005,13
16,0.0009629768213467637,0.0005533979057605396,100,16,0.7907949790794979,0.5882352941176471,0.6231884057971014,0.24494288861751556,13
32,0.0008575446467802412,0.0006731473523951901,100,16,0.799163179916318,0.6176470588235294,0.5797101449275363,0.24875913560390472,13
16,0.00020200513082957767,0.0003476334304965826,100,16,0.7824267782426778,0.5882352941176471,0.6231884057971014,0.24867576360702515,57
16,0.0004089841557447971,0.0009103490238321515,100,16,0.7866108786610879,0.5882352941176471,0.6086956521739131,0.24860595166683197,29
16,0.00012911711403145064,0.00045050123375911077,100,64,0.6652719665271967,0.5588235294117647,0.6231884057971014,0.30874180793762207,100
4,0.0009775523123002829,0.0006156614045764627,200,16,0.799163179916318,0.6470588235294118,0.6376811594202898,0.24848371744155884,20
32,0.0005385690029390998,0.0002245893750092813,100,16,0.8075313807531381,0.5882352941176471,0.5942028985507246,0.25419750809669495,23
16,0.000211365546553159,0.0007702016320945113,100,64,0.7364016736401674,0.6764705882352942,0.6231884057971014,0.29024288058280945,100
16,0.0005821818802636782,4.7401196530896675e-06,200,16,0.7907949790794979,0.5882352941176471,0.6086956521739131,0.24754546582698822,20
16,0.0005812088655255642,0.0005660391783224243,50,16,0.7907949790794979,0.5882352941176471,0.6086956521739131,0.24713878333568573,20
16,0.0009631790830375256,0.0004352369914716761,50,16,0.7949790794979079,0.5882352941176471,0.6231884057971014,0.24503940343856812,13
16,0.0009966442661439388,0.0004254910076408449,50,16,0.7907949790794979,0.5882352941176471,0.6231884057971014,0.24516111612319946,13
16,0.0002841790431327818,0.00042394631111074293,50,16,0.7949790794979079,0.5882352941176471,0.6086956521739131,0.2493990957736969,44
16,0.0005018560229932298,0.00022915558625596368,50,16,0.7615062761506276,0.6176470588235294,0.6231884057971014,0.24855750799179077,20
4,1.7630829997470535e-05,0.0002998770131049771,50,16,0.502092050209205,0.5588235294117647,0.6086956521739131,0.4080227017402649,50
32,0.0009973191392981717,0.00044637373302400485,50,16,0.803347280334728,0.6176470588235294,0.5942028985507246,0.24953266978263855,13
8,0.0001246793461830356,0.00040416875423616256,50,64,0.47280334728033474,0.5,0.5942028985507246,0.6525194048881531,50
8,0.0007171172932593705,0.00013869673662230807,50,32,0.8158995815899581,0.5588235294117647,0.6231884057971014,0.30783113837242126,50
