dataset,model,experiment,snapshot,sensor_id,sensor_x,sensor_y,start_frame,end_frame,length,track_path,pressure_path
boai,cylinder,1,2,0,146.0,80.0,346,347,2,D:\boai_files\1\2\circle_vortex_tracks.csv,D:\boai_files\1\2\circle_pressure_map.csv
boai,cylinder,1,2,0,146.0,80.0,352,352,1,D:\boai_files\1\2\circle_vortex_tracks.csv,D:\boai_files\1\2\circle_pressure_map.csv
boai,cylinder,1,2,0,146.0,80.0,388,412,25,D:\boai_files\1\2\circle_vortex_tracks.csv,D:\boai_files\1\2\circle_pressure_map.csv
boai,cylinder,1,2,0,146.0,80.0,418,712,295,D:\boai_files\1\2\circle_vortex_tracks.csv,D:\boai_files\1\2\circle_pressure_map.csv
boai,cylinder,1,2,1,198.0,80.0,336,712,377,D:\boai_files\1\2\circle_vortex_tracks.csv,D:\boai_files\1\2\circle_pressure_map.csv
boai,cylinder,1,2,2,200.0,39.0,121,121,1,D:\boai_files\1\2\circle_vortex_tracks.csv,D:\boai_files\1\2\circle_pressure_map.csv
boai,cylinder,1,2,2,200.0,39.0,123,128,6,D:\boai_files\1\2\circle_vortex_tracks.csv,D:\boai_files\1\2\circle_pressure_map.csv
boai,cylinder,1,2,2,200.0,39.0,145,365,221,D:\boai_files\1\2\circle_vortex_tracks.csv,D:\boai_files\1\2\circle_pressure_map.csv
boai,cylinder,1,3,0,146.0,80.0,186,314,129,D:\boai_files\1\3\circle_vortex_tracks.csv,D:\boai_files\1\3\circle_pressure_map.csv
boai,cylinder,1,3,2,200.0,39.0,277,314,38,D:\boai_files\1\3\circle_vortex_tracks.csv,D:\boai_files\1\3\circle_pressure_map.csv
boai,cylinder,1,4,0,146.0,80.0,204,204,1,D:\boai_files\1\4\circle_vortex_tracks.csv,D:\boai_files\1\4\circle_pressure_map.csv
boai,cylinder,1,4,0,146.0,80.0,206,490,285,D:\boai_files\1\4\circle_vortex_tracks.csv,D:\boai_files\1\4\circle_pressure_map.csv
boai,cylinder,1,4,1,198.0,80.0,141,144,4,D:\boai_files\1\4\circle_vortex_tracks.csv,D:\boai_files\1\4\circle_pressure_map.csv
boai,cylinder,1,4,1,198.0,80.0,146,382,237,D:\boai_files\1\4\circle_vortex_tracks.csv,D:\boai_files\1\4\circle_pressure_map.csv
boai,cylinder,1,4,2,200.0,39.0,409,417,9,D:\boai_files\1\4\circle_vortex_tracks.csv,D:\boai_files\1\4\circle_pressure_map.csv
boai,cylinder,1,4,2,200.0,39.0,454,490,37,D:\boai_files\1\4\circle_vortex_tracks.csv,D:\boai_files\1\4\circle_pressure_map.csv
boai,cylinder,1,5,0,146.0,80.0,157,158,2,D:\boai_files\1\5\circle_vortex_tracks.csv,D:\boai_files\1\5\circle_pressure_map.csv
boai,cylinder,1,5,0,146.0,80.0,160,357,198,D:\boai_files\1\5\circle_vortex_tracks.csv,D:\boai_files\1\5\circle_pressure_map.csv
boai,cylinder,1,5,1,198.0,80.0,118,206,89,D:\boai_files\1\5\circle_vortex_tracks.csv,D:\boai_files\1\5\circle_pressure_map.csv
boai,cylinder,1,5,1,198.0,80.0,210,210,1,D:\boai_files\1\5\circle_vortex_tracks.csv,D:\boai_files\1\5\circle_pressure_map.csv
boai,cylinder,1,6,0,146.0,80.0,215,339,125,D:\boai_files\1\6\circle_vortex_tracks.csv,D:\boai_files\1\6\circle_pressure_map.csv
boai,cylinder,1,6,2,200.0,39.0,273,339,67,D:\boai_files\1\6\circle_vortex_tracks.csv,D:\boai_files\1\6\circle_pressure_map.csv
boai,cylinder,1,9,0,146.0,80.0,65,86,22,D:\boai_files\1\9\circle_vortex_tracks.csv,D:\boai_files\1\9\circle_pressure_map.csv
boai,cylinder,1,9,0,146.0,80.0,108,119,12,D:\boai_files\1\9\circle_vortex_tracks.csv,D:\boai_files\1\9\circle_pressure_map.csv
boai,cylinder,1,9,0,146.0,80.0,125,138,14,D:\boai_files\1\9\circle_vortex_tracks.csv,D:\boai_files\1\9\circle_pressure_map.csv
boai,cylinder,1,9,0,146.0,80.0,140,140,1,D:\boai_files\1\9\circle_vortex_tracks.csv,D:\boai_files\1\9\circle_pressure_map.csv
boai,cylinder,1,9,0,146.0,80.0,146,268,123,D:\boai_files\1\9\circle_vortex_tracks.csv,D:\boai_files\1\9\circle_pressure_map.csv
boai,cylinder,1,9,1,198.0,80.0,156,156,1,D:\boai_files\1\9\circle_vortex_tracks.csv,D:\boai_files\1\9\circle_pressure_map.csv
boai,cylinder,1,9,1,198.0,80.0,158,160,3,D:\boai_files\1\9\circle_vortex_tracks.csv,D:\boai_files\1\9\circle_pressure_map.csv
boai,cylinder,1,9,1,198.0,80.0,164,167,4,D:\boai_files\1\9\circle_vortex_tracks.csv,D:\boai_files\1\9\circle_pressure_map.csv
boai,cylinder,1,9,1,198.0,80.0,171,203,33,D:\boai_files\1\9\circle_vortex_tracks.csv,D:\boai_files\1\9\circle_pressure_map.csv
boai,cylinder,1,9,1,198.0,80.0,242,268,27,D:\boai_files\1\9\circle_vortex_tracks.csv,D:\boai_files\1\9\circle_pressure_map.csv
boai,cylinder,1,10,1,198.0,80.0,200,215,16,D:\boai_files\1\10\circle_vortex_tracks.csv,D:\boai_files\1\10\circle_pressure_map.csv
boai,cylinder,1,10,2,200.0,39.0,1,49,49,D:\boai_files\1\10\circle_vortex_tracks.csv,D:\boai_files\1\10\circle_pressure_map.csv
boai,cylinder,1,10,2,200.0,39.0,65,72,8,D:\boai_files\1\10\circle_vortex_tracks.csv,D:\boai_files\1\10\circle_pressure_map.csv
boai,cylinder,1,10,2,200.0,39.0,98,103,6,D:\boai_files\1\10\circle_vortex_tracks.csv,D:\boai_files\1\10\circle_pressure_map.csv
boai,cylinder,1,10,2,200.0,39.0,109,118,10,D:\boai_files\1\10\circle_vortex_tracks.csv,D:\boai_files\1\10\circle_pressure_map.csv
boai,cylinder,1,10,2,200.0,39.0,197,215,19,D:\boai_files\1\10\circle_vortex_tracks.csv,D:\boai_files\1\10\circle_pressure_map.csv
