dataset,model,experiment,snapshot,sensor_id,sensor_x,sensor_y,start_frame,end_frame,length,track_path,pressure_path
boai,fish,1,2,1,198.0,80.0,28,28,1,D:\boai_files\1\2\vortex_tracks.csv,D:\boai_files\1\2\pressure_map.csv
boai,fish,1,3,0,146.0,80.0,179,314,136,D:\boai_files\1\3\vortex_tracks.csv,D:\boai_files\1\3\pressure_map.csv
boai,fish,1,3,2,200.0,39.0,259,314,56,D:\boai_files\1\3\vortex_tracks.csv,D:\boai_files\1\3\pressure_map.csv
boai,fish,1,4,0,146.0,80.0,186,490,305,D:\boai_files\1\4\vortex_tracks.csv,D:\boai_files\1\4\pressure_map.csv
boai,fish,1,4,1,198.0,80.0,59,82,24,D:\boai_files\1\4\vortex_tracks.csv,D:\boai_files\1\4\pressure_map.csv
boai,fish,1,4,1,198.0,80.0,85,470,386,D:\boai_files\1\4\vortex_tracks.csv,D:\boai_files\1\4\pressure_map.csv
boai,fish,1,4,2,200.0,39.0,468,490,23,D:\boai_files\1\4\vortex_tracks.csv,D:\boai_files\1\4\pressure_map.csv
boai,fish,1,5,0,146.0,80.0,6,6,1,D:\boai_files\1\5\vortex_tracks.csv,D:\boai_files\1\5\pressure_map.csv
boai,fish,1,5,1,198.0,80.0,6,6,1,D:\boai_files\1\5\vortex_tracks.csv,D:\boai_files\1\5\pressure_map.csv
boai,fish,1,5,2,200.0,39.0,6,7,2,D:\boai_files\1\5\vortex_tracks.csv,D:\boai_files\1\5\pressure_map.csv
boai,fish,1,6,2,200.0,39.0,267,339,73,D:\boai_files\1\6\vortex_tracks.csv,D:\boai_files\1\6\pressure_map.csv
boai,fish,1,9,0,146.0,80.0,60,96,37,D:\boai_files\1\9\vortex_tracks.csv,D:\boai_files\1\9\pressure_map.csv
boai,fish,1,9,0,146.0,80.0,98,268,171,D:\boai_files\1\9\vortex_tracks.csv,D:\boai_files\1\9\pressure_map.csv
boai,fish,1,9,1,198.0,80.0,150,150,1,D:\boai_files\1\9\vortex_tracks.csv,D:\boai_files\1\9\pressure_map.csv
boai,fish,1,9,1,198.0,80.0,153,198,46,D:\boai_files\1\9\vortex_tracks.csv,D:\boai_files\1\9\pressure_map.csv
boai,fish,1,9,1,198.0,80.0,225,228,4,D:\boai_files\1\9\vortex_tracks.csv,D:\boai_files\1\9\pressure_map.csv
boai,fish,1,9,1,198.0,80.0,239,268,30,D:\boai_files\1\9\vortex_tracks.csv,D:\boai_files\1\9\pressure_map.csv
boai,fish,1,9,2,200.0,39.0,161,161,1,D:\boai_files\1\9\vortex_tracks.csv,D:\boai_files\1\9\pressure_map.csv
boai,fish,1,9,2,200.0,39.0,166,166,1,D:\boai_files\1\9\vortex_tracks.csv,D:\boai_files\1\9\pressure_map.csv
boai,fish,1,9,2,200.0,39.0,169,169,1,D:\boai_files\1\9\vortex_tracks.csv,D:\boai_files\1\9\pressure_map.csv
boai,fish,1,9,2,200.0,39.0,220,268,49,D:\boai_files\1\9\vortex_tracks.csv,D:\boai_files\1\9\pressure_map.csv
boai,fish,1,10,1,198.0,80.0,179,184,6,D:\boai_files\1\10\vortex_tracks.csv,D:\boai_files\1\10\pressure_map.csv
boai,fish,1,10,1,198.0,80.0,190,191,2,D:\boai_files\1\10\vortex_tracks.csv,D:\boai_files\1\10\pressure_map.csv
boai,fish,1,10,1,198.0,80.0,195,215,21,D:\boai_files\1\10\vortex_tracks.csv,D:\boai_files\1\10\pressure_map.csv
boai,fish,1,10,2,200.0,39.0,55,55,1,D:\boai_files\1\10\vortex_tracks.csv,D:\boai_files\1\10\pressure_map.csv
boai,fish,1,10,2,200.0,39.0,57,215,159,D:\boai_files\1\10\vortex_tracks.csv,D:\boai_files\1\10\pressure_map.csv
boai,fish,1,11,0,146.0,80.0,57,57,1,D:\boai_files\1\11\vortex_tracks.csv,D:\boai_files\1\11\pressure_map.csv
