dataset,model,experiment,snapshot,sensor_id,sensor_x,sensor_y,start_frame,end_frame,length,track_path,pressure_path
full,cylinder,1,2,0,146.0,80.0,306,306,1,D:\full_files\1\2\circle_vortex_tracks.csv,D:\full_files\1\2\circle_pressure_map.csv
full,cylinder,1,2,0,146.0,80.0,346,347,2,D:\full_files\1\2\circle_vortex_tracks.csv,D:\full_files\1\2\circle_pressure_map.csv
full,cylinder,1,2,0,146.0,80.0,352,352,1,D:\full_files\1\2\circle_vortex_tracks.csv,D:\full_files\1\2\circle_pressure_map.csv
full,cylinder,1,2,0,146.0,80.0,388,412,25,D:\full_files\1\2\circle_vortex_tracks.csv,D:\full_files\1\2\circle_pressure_map.csv
full,cylinder,1,2,0,146.0,80.0,418,653,236,D:\full_files\1\2\circle_vortex_tracks.csv,D:\full_files\1\2\circle_pressure_map.csv
full,cylinder,1,2,1,198.0,80.0,336,653,318,D:\full_files\1\2\circle_vortex_tracks.csv,D:\full_files\1\2\circle_pressure_map.csv
full,cylinder,1,2,2,200.0,39.0,109,128,20,D:\full_files\1\2\circle_vortex_tracks.csv,D:\full_files\1\2\circle_pressure_map.csv
full,cylinder,1,2,2,200.0,39.0,137,365,229,D:\full_files\1\2\circle_vortex_tracks.csv,D:\full_files\1\2\circle_pressure_map.csv
full,cylinder,1,3,0,146.0,80.0,184,285,102,D:\full_files\1\3\circle_vortex_tracks.csv,D:\full_files\1\3\circle_pressure_map.csv
full,cylinder,1,3,2,200.0,39.0,273,285,13,D:\full_files\1\3\circle_vortex_tracks.csv,D:\full_files\1\3\circle_pressure_map.csv
full,cylinder,1,4,0,146.0,80.0,199,433,235,D:\full_files\1\4\circle_vortex_tracks.csv,D:\full_files\1\4\circle_pressure_map.csv
full,cylinder,1,4,1,198.0,80.0,138,382,245,D:\full_files\1\4\circle_vortex_tracks.csv,D:\full_files\1\4\circle_pressure_map.csv
full,cylinder,1,4,2,200.0,39.0,409,417,9,D:\full_files\1\4\circle_vortex_tracks.csv,D:\full_files\1\4\circle_pressure_map.csv
full,cylinder,1,5,0,146.0,80.0,161,213,53,D:\full_files\1\5\circle_vortex_tracks.csv,D:\full_files\1\5\circle_pressure_map.csv
full,cylinder,1,5,1,198.0,80.0,130,130,1,D:\full_files\1\5\circle_vortex_tracks.csv,D:\full_files\1\5\circle_pressure_map.csv
full,cylinder,1,5,1,198.0,80.0,132,206,75,D:\full_files\1\5\circle_vortex_tracks.csv,D:\full_files\1\5\circle_pressure_map.csv
full,cylinder,1,5,1,198.0,80.0,210,210,1,D:\full_files\1\5\circle_vortex_tracks.csv,D:\full_files\1\5\circle_pressure_map.csv
full,cylinder,1,6,0,146.0,80.0,215,335,121,D:\full_files\1\6\circle_vortex_tracks.csv,D:\full_files\1\6\circle_pressure_map.csv
full,cylinder,1,6,2,200.0,39.0,265,335,71,D:\full_files\1\6\circle_vortex_tracks.csv,D:\full_files\1\6\circle_pressure_map.csv
full,cylinder,1,9,0,146.0,80.0,65,81,17,D:\full_files\1\9\circle_vortex_tracks.csv,D:\full_files\1\9\circle_pressure_map.csv
full,cylinder,1,9,0,146.0,80.0,83,83,1,D:\full_files\1\9\circle_vortex_tracks.csv,D:\full_files\1\9\circle_pressure_map.csv
full,cylinder,1,9,0,146.0,80.0,108,115,8,D:\full_files\1\9\circle_vortex_tracks.csv,D:\full_files\1\9\circle_pressure_map.csv
full,cylinder,1,9,0,146.0,80.0,117,119,3,D:\full_files\1\9\circle_vortex_tracks.csv,D:\full_files\1\9\circle_pressure_map.csv
full,cylinder,1,9,0,146.0,80.0,125,133,9,D:\full_files\1\9\circle_vortex_tracks.csv,D:\full_files\1\9\circle_pressure_map.csv
full,cylinder,1,9,0,146.0,80.0,135,135,1,D:\full_files\1\9\circle_vortex_tracks.csv,D:\full_files\1\9\circle_pressure_map.csv
full,cylinder,1,9,0,146.0,80.0,139,259,121,D:\full_files\1\9\circle_vortex_tracks.csv,D:\full_files\1\9\circle_pressure_map.csv
