dataset,model,experiment,snapshot,sensor_id,sensor_x,sensor_y,start_frame,end_frame,length,track_path,pressure_path
full,fish,1,2,0,146.0,80.0,374,653,280,D:\full_files\1\2\vortex_tracks.csv,D:\full_files\1\2\pressure_map.csv
full,fish,1,2,2,200.0,39.0,90,90,1,D:\full_files\1\2\vortex_tracks.csv,D:\full_files\1\2\pressure_map.csv
full,fish,1,2,2,200.0,39.0,92,109,18,D:\full_files\1\2\vortex_tracks.csv,D:\full_files\1\2\pressure_map.csv
full,fish,1,2,2,200.0,39.0,111,111,1,D:\full_files\1\2\vortex_tracks.csv,D:\full_files\1\2\pressure_map.csv
full,fish,1,2,2,200.0,39.0,114,653,540,D:\full_files\1\2\vortex_tracks.csv,D:\full_files\1\2\pressure_map.csv
full,fish,1,3,0,146.0,80.0,182,285,104,D:\full_files\1\3\vortex_tracks.csv,D:\full_files\1\3\pressure_map.csv
full,fish,1,3,2,200.0,39.0,248,255,8,D:\full_files\1\3\vortex_tracks.csv,D:\full_files\1\3\pressure_map.csv
full,fish,1,3,2,200.0,39.0,267,267,1,D:\full_files\1\3\vortex_tracks.csv,D:\full_files\1\3\pressure_map.csv
full,fish,1,3,2,200.0,39.0,269,285,17,D:\full_files\1\3\vortex_tracks.csv,D:\full_files\1\3\pressure_map.csv
full,fish,1,4,0,146.0,80.0,186,433,248,D:\full_files\1\4\vortex_tracks.csv,D:\full_files\1\4\pressure_map.csv
full,fish,1,4,1,198.0,80.0,66,384,319,D:\full_files\1\4\vortex_tracks.csv,D:\full_files\1\4\pressure_map.csv
full,fish,1,5,0,146.0,80.0,162,213,52,D:\full_files\1\5\vortex_tracks.csv,D:\full_files\1\5\pressure_map.csv
full,fish,1,5,1,198.0,80.0,21,22,2,D:\full_files\1\5\vortex_tracks.csv,D:\full_files\1\5\pressure_map.csv
full,fish,1,5,1,198.0,80.0,83,213,131,D:\full_files\1\5\vortex_tracks.csv,D:\full_files\1\5\pressure_map.csv
full,fish,1,6,0,146.0,80.0,262,335,74,D:\full_files\1\6\vortex_tracks.csv,D:\full_files\1\6\pressure_map.csv
full,fish,1,6,2,200.0,39.0,248,261,14,D:\full_files\1\6\vortex_tracks.csv,D:\full_files\1\6\pressure_map.csv
full,fish,1,6,2,200.0,39.0,266,335,70,D:\full_files\1\6\vortex_tracks.csv,D:\full_files\1\6\pressure_map.csv
full,fish,1,9,0,146.0,80.0,58,154,97,D:\full_files\1\9\vortex_tracks.csv,D:\full_files\1\9\pressure_map.csv
full,fish,1,9,0,146.0,80.0,160,169,10,D:\full_files\1\9\vortex_tracks.csv,D:\full_files\1\9\pressure_map.csv
full,fish,1,9,0,146.0,80.0,171,171,1,D:\full_files\1\9\vortex_tracks.csv,D:\full_files\1\9\pressure_map.csv
full,fish,1,9,0,146.0,80.0,189,189,1,D:\full_files\1\9\vortex_tracks.csv,D:\full_files\1\9\pressure_map.csv
