dataset,model,experiment,snapshot,sensor_id,sensor_x,sensor_y,start_frame,end_frame,length,track_path,pressure_path
nadia,fish,1,2,0,146.0,80.0,310,712,403,D:\crop_nadia\1\2\vortex_tracks.csv,D:\crop_nadia\1\2\pressure_map.csv
nadia,fish,1,2,2,200.0,39.0,95,95,1,D:\crop_nadia\1\2\vortex_tracks.csv,D:\crop_nadia\1\2\pressure_map.csv
nadia,fish,1,2,2,200.0,39.0,98,712,615,D:\crop_nadia\1\2\vortex_tracks.csv,D:\crop_nadia\1\2\pressure_map.csv
nadia,fish,1,3,0,146.0,80.0,164,314,151,D:\crop_nadia\1\3\vortex_tracks.csv,D:\crop_nadia\1\3\pressure_map.csv
nadia,fish,1,3,2,200.0,39.0,260,272,13,D:\crop_nadia\1\3\vortex_tracks.csv,D:\crop_nadia\1\3\pressure_map.csv
nadia,fish,1,3,2,200.0,39.0,277,314,38,D:\crop_nadia\1\3\vortex_tracks.csv,D:\crop_nadia\1\3\pressure_map.csv
nadia,fish,1,4,0,146.0,80.0,183,490,308,D:\crop_nadia\1\4\vortex_tracks.csv,D:\crop_nadia\1\4\pressure_map.csv
nadia,fish,1,4,1,198.0,80.0,112,490,379,D:\crop_nadia\1\4\vortex_tracks.csv,D:\crop_nadia\1\4\pressure_map.csv
nadia,fish,1,4,2,200.0,39.0,294,457,164,D:\crop_nadia\1\4\vortex_tracks.csv,D:\crop_nadia\1\4\pressure_map.csv
nadia,fish,1,4,2,200.0,39.0,460,461,2,D:\crop_nadia\1\4\vortex_tracks.csv,D:\crop_nadia\1\4\pressure_map.csv
nadia,fish,1,4,2,200.0,39.0,471,490,20,D:\crop_nadia\1\4\vortex_tracks.csv,D:\crop_nadia\1\4\pressure_map.csv
nadia,fish,1,5,0,146.0,80.0,160,164,5,D:\crop_nadia\1\5\vortex_tracks.csv,D:\crop_nadia\1\5\pressure_map.csv
nadia,fish,1,5,0,146.0,80.0,171,357,187,D:\crop_nadia\1\5\vortex_tracks.csv,D:\crop_nadia\1\5\pressure_map.csv
nadia,fish,1,5,1,198.0,80.0,34,35,2,D:\crop_nadia\1\5\vortex_tracks.csv,D:\crop_nadia\1\5\pressure_map.csv
nadia,fish,1,5,1,198.0,80.0,55,55,1,D:\crop_nadia\1\5\vortex_tracks.csv,D:\crop_nadia\1\5\pressure_map.csv
nadia,fish,1,5,1,198.0,80.0,58,357,300,D:\crop_nadia\1\5\vortex_tracks.csv,D:\crop_nadia\1\5\pressure_map.csv
