dataset,model,experiment,snapshot,sensor_id,sensor_x,sensor_y,start_frame,end_frame,length,track_path,pressure_path
thomas,fish,1,10,2,200.0,39.0,40,118,79,D:\thomas_files\1\10\vortex_tracks.csv,D:\thomas_files\1\10\pressure_map.csv
thomas,fish,1,11,0,146.0,80.0,266,338,73,D:\thomas_files\1\11\vortex_tracks.csv,D:\thomas_files\1\11\pressure_map.csv
thomas,fish,1,11,1,198.0,80.0,259,338,80,D:\thomas_files\1\11\vortex_tracks.csv,D:\thomas_files\1\11\pressure_map.csv
thomas,fish,1,11,2,200.0,39.0,74,338,265,D:\thomas_files\1\11\vortex_tracks.csv,D:\thomas_files\1\11\pressure_map.csv
thomas,fish,1,12,2,200.0,39.0,134,138,5,D:\thomas_files\1\12\vortex_tracks.csv,D:\thomas_files\1\12\pressure_map.csv
thomas,fish,1,16,0,146.0,80.0,183,185,3,D:\thomas_files\1\16\vortex_tracks.csv,D:\thomas_files\1\16\pressure_map.csv
thomas,fish,1,16,0,146.0,80.0,201,210,10,D:\thomas_files\1\16\vortex_tracks.csv,D:\thomas_files\1\16\pressure_map.csv
thomas,fish,1,16,2,200.0,39.0,116,119,4,D:\thomas_files\1\16\vortex_tracks.csv,D:\thomas_files\1\16\pressure_map.csv
thomas,fish,1,16,2,200.0,39.0,121,123,3,D:\thomas_files\1\16\vortex_tracks.csv,D:\thomas_files\1\16\pressure_map.csv
thomas,fish,1,16,2,200.0,39.0,125,126,2,D:\thomas_files\1\16\vortex_tracks.csv,D:\thomas_files\1\16\pressure_map.csv
thomas,fish,1,16,2,200.0,39.0,146,146,1,D:\thomas_files\1\16\vortex_tracks.csv,D:\thomas_files\1\16\pressure_map.csv
thomas,fish,1,16,2,200.0,39.0,177,210,34,D:\thomas_files\1\16\vortex_tracks.csv,D:\thomas_files\1\16\pressure_map.csv
thomas,fish,1,18,0,146.0,80.0,201,209,9,D:\thomas_files\1\18\vortex_tracks.csv,D:\thomas_files\1\18\pressure_map.csv
thomas,fish,1,18,2,200.0,39.0,133,155,23,D:\thomas_files\1\18\vortex_tracks.csv,D:\thomas_files\1\18\pressure_map.csv
thomas,fish,1,18,2,200.0,39.0,159,169,11,D:\thomas_files\1\18\vortex_tracks.csv,D:\thomas_files\1\18\pressure_map.csv
thomas,fish,1,18,2,200.0,39.0,173,182,10,D:\thomas_files\1\18\vortex_tracks.csv,D:\thomas_files\1\18\pressure_map.csv
thomas,fish,1,18,2,200.0,39.0,194,194,1,D:\thomas_files\1\18\vortex_tracks.csv,D:\thomas_files\1\18\pressure_map.csv
thomas,fish,1,18,2,200.0,39.0,200,209,10,D:\thomas_files\1\18\vortex_tracks.csv,D:\thomas_files\1\18\pressure_map.csv
thomas,fish,1,2,0,146.0,80.0,326,653,328,D:\thomas_files\1\2\vortex_tracks.csv,D:\thomas_files\1\2\pressure_map.csv
thomas,fish,1,2,1,198.0,80.0,335,653,319,D:\thomas_files\1\2\vortex_tracks.csv,D:\thomas_files\1\2\pressure_map.csv
thomas,fish,1,2,2,200.0,39.0,90,653,564,D:\thomas_files\1\2\vortex_tracks.csv,D:\thomas_files\1\2\pressure_map.csv
thomas,fish,1,21,0,146.0,80.0,83,86,4,D:\thomas_files\1\21\vortex_tracks.csv,D:\thomas_files\1\21\pressure_map.csv
thomas,fish,1,21,0,146.0,80.0,92,236,145,D:\thomas_files\1\21\vortex_tracks.csv,D:\thomas_files\1\21\pressure_map.csv
thomas,fish,1,21,1,198.0,80.0,159,236,78,D:\thomas_files\1\21\vortex_tracks.csv,D:\thomas_files\1\21\pressure_map.csv
thomas,fish,1,23,0,146.0,80.0,84,167,84,D:\thomas_files\1\23\vortex_tracks.csv,D:\thomas_files\1\23\pressure_map.csv
thomas,fish,1,23,1,198.0,80.0,163,167,5,D:\thomas_files\1\23\vortex_tracks.csv,D:\thomas_files\1\23\pressure_map.csv
thomas,fish,1,25,0,146.0,80.0,181,191,11,D:\thomas_files\1\25\vortex_tracks.csv,D:\thomas_files\1\25\pressure_map.csv
thomas,fish,1,25,2,200.0,39.0,128,129,2,D:\thomas_files\1\25\vortex_tracks.csv,D:\thomas_files\1\25\pressure_map.csv
thomas,fish,1,25,2,200.0,39.0,133,142,10,D:\thomas_files\1\25\vortex_tracks.csv,D:\thomas_files\1\25\pressure_map.csv
thomas,fish,1,25,2,200.0,39.0,153,160,8,D:\thomas_files\1\25\vortex_tracks.csv,D:\thomas_files\1\25\pressure_map.csv
thomas,fish,1,25,2,200.0,39.0,173,191,19,D:\thomas_files\1\25\vortex_tracks.csv,D:\thomas_files\1\25\pressure_map.csv
thomas,fish,1,26,0,146.0,80.0,191,194,4,D:\thomas_files\1\26\vortex_tracks.csv,D:\thomas_files\1\26\pressure_map.csv
thomas,fish,1,26,0,146.0,80.0,196,214,19,D:\thomas_files\1\26\vortex_tracks.csv,D:\thomas_files\1\26\pressure_map.csv
thomas,fish,1,26,0,146.0,80.0,217,218,2,D:\thomas_files\1\26\vortex_tracks.csv,D:\thomas_files\1\26\pressure_map.csv
thomas,fish,1,26,0,146.0,80.0,221,230,10,D:\thomas_files\1\26\vortex_tracks.csv,D:\thomas_files\1\26\pressure_map.csv
thomas,fish,1,26,1,198.0,80.0,204,244,41,D:\thomas_files\1\26\vortex_tracks.csv,D:\thomas_files\1\26\pressure_map.csv
thomas,fish,1,26,2,200.0,39.0,33,34,2,D:\thomas_files\1\26\vortex_tracks.csv,D:\thomas_files\1\26\pressure_map.csv
thomas,fish,1,26,2,200.0,39.0,60,244,185,D:\thomas_files\1\26\vortex_tracks.csv,D:\thomas_files\1\26\pressure_map.csv
thomas,fish,1,27,0,146.0,80.0,158,217,60,D:\thomas_files\1\27\vortex_tracks.csv,D:\thomas_files\1\27\pressure_map.csv
thomas,fish,1,27,2,200.0,39.0,153,217,65,D:\thomas_files\1\27\vortex_tracks.csv,D:\thomas_files\1\27\pressure_map.csv
thomas,fish,1,3,0,146.0,80.0,179,285,107,D:\thomas_files\1\3\vortex_tracks.csv,D:\thomas_files\1\3\pressure_map.csv
thomas,fish,1,3,2,200.0,39.0,270,270,1,D:\thomas_files\1\3\vortex_tracks.csv,D:\thomas_files\1\3\pressure_map.csv
thomas,fish,1,3,2,200.0,39.0,274,276,3,D:\thomas_files\1\3\vortex_tracks.csv,D:\thomas_files\1\3\pressure_map.csv
thomas,fish,1,3,2,200.0,39.0,282,285,4,D:\thomas_files\1\3\vortex_tracks.csv,D:\thomas_files\1\3\pressure_map.csv
thomas,fish,1,4,0,146.0,80.0,179,333,155,D:\thomas_files\1\4\vortex_tracks.csv,D:\thomas_files\1\4\pressure_map.csv
thomas,fish,1,4,1,198.0,80.0,76,95,20,D:\thomas_files\1\4\vortex_tracks.csv,D:\thomas_files\1\4\pressure_map.csv
thomas,fish,1,4,1,198.0,80.0,101,334,234,D:\thomas_files\1\4\vortex_tracks.csv,D:\thomas_files\1\4\pressure_map.csv
thomas,fish,1,4,2,200.0,39.0,273,333,61,D:\thomas_files\1\4\vortex_tracks.csv,D:\thomas_files\1\4\pressure_map.csv
thomas,fish,1,5,0,146.0,80.0,163,213,51,D:\thomas_files\1\5\vortex_tracks.csv,D:\thomas_files\1\5\pressure_map.csv
thomas,fish,1,5,1,198.0,80.0,108,213,106,D:\thomas_files\1\5\vortex_tracks.csv,D:\thomas_files\1\5\pressure_map.csv
thomas,fish,1,6,0,146.0,80.0,224,335,112,D:\thomas_files\1\6\vortex_tracks.csv,D:\thomas_files\1\6\pressure_map.csv
thomas,fish,1,6,2,200.0,39.0,263,335,73,D:\thomas_files\1\6\vortex_tracks.csv,D:\thomas_files\1\6\pressure_map.csv
thomas,fish,1,9,0,146.0,80.0,102,259,158,D:\thomas_files\1\9\vortex_tracks.csv,D:\thomas_files\1\9\pressure_map.csv
thomas,fish,1,9,1,198.0,80.0,144,167,24,D:\thomas_files\1\9\vortex_tracks.csv,D:\thomas_files\1\9\pressure_map.csv
thomas,fish,1,9,1,198.0,80.0,175,175,1,D:\thomas_files\1\9\vortex_tracks.csv,D:\thomas_files\1\9\pressure_map.csv
thomas,fish,1,9,1,198.0,80.0,201,259,59,D:\thomas_files\1\9\vortex_tracks.csv,D:\thomas_files\1\9\pressure_map.csv
thomas,fish,2,5,0,146.0,80.0,317,477,161,D:\thomas_files\2\5\vortex_tracks.csv,D:\thomas_files\2\5\pressure_map.csv
thomas,fish,2,5,1,198.0,80.0,132,477,346,D:\thomas_files\2\5\vortex_tracks.csv,D:\thomas_files\2\5\pressure_map.csv
thomas,fish,2,5,2,200.0,39.0,231,349,119,D:\thomas_files\2\5\vortex_tracks.csv,D:\thomas_files\2\5\pressure_map.csv
thomas,fish,2,5,2,200.0,39.0,377,477,101,D:\thomas_files\2\5\vortex_tracks.csv,D:\thomas_files\2\5\pressure_map.csv
thomas,fish,2,6,0,146.0,80.0,238,248,11,D:\thomas_files\2\6\vortex_tracks.csv,D:\thomas_files\2\6\pressure_map.csv
thomas,fish,2,6,0,146.0,80.0,274,346,73,D:\thomas_files\2\6\vortex_tracks.csv,D:\thomas_files\2\6\pressure_map.csv
thomas,fish,2,6,0,146.0,80.0,348,352,5,D:\thomas_files\2\6\vortex_tracks.csv,D:\thomas_files\2\6\pressure_map.csv
thomas,fish,2,6,0,146.0,80.0,358,359,2,D:\thomas_files\2\6\vortex_tracks.csv,D:\thomas_files\2\6\pressure_map.csv
thomas,fish,2,6,0,146.0,80.0,410,631,222,D:\thomas_files\2\6\vortex_tracks.csv,D:\thomas_files\2\6\pressure_map.csv
