                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0728,                 4.9119,                 3.7782,                  1.809,                0.00333,                      1,                0.21814,                0.13659,                0.00183,                   0.55,                0.05493,                0.01595,                    nan,                  5.286,                    nan,                    nan,                0.00018,                0.00018,                0.00018
                      2,                 1.5777,                 3.9695,                 2.9699,                 1.3742,                0.00333,                      1,                0.22726,                0.14377,                 0.0015,                   0.45,                0.02268,                0.00392,                    nan,                 6.1291,                    nan,                    nan,             0.00037624,             0.00037624,             0.00037624
                      3,                 1.1361,                 3.1017,                 1.8526,                 1.1288,                0.00333,                      1,                0.21028,                0.15031,                  0.002,                    0.6,                0.10467,                0.04037,                    nan,                 4.5456,                    nan,                    nan,             0.00056852,             0.00056852,             0.00056852
                      4,                  1.197,                 2.9232,                 1.7785,                 1.1601,                0.00333,                      1,                0.21409,                0.14084,                0.00133,                    0.4,                0.08149,                0.03396,                    nan,                 4.2775,                    nan,                    nan,             0.00075683,             0.00075683,             0.00075683
                      5,                 1.2143,                 3.2499,                 1.8388,                 1.2531,                      1,                0.11278,                0.21924,                0.13296,                0.43133,                   0.05,                0.03183,                0.00493,                    nan,                 3.7996,                    nan,                    nan,             0.00094119,             0.00094119,             0.00094119
                      6,                 1.1435,                 2.9845,                 1.6938,                 1.1584,                0.99486,                    0.2,                0.21739,                0.14287,                0.48726,                    0.1,                0.07085,                0.01537,                    nan,                 3.7678,                    nan,                    nan,              0.0011216,              0.0011216,              0.0011216
                      7,                 1.1296,                 2.9267,                 1.6763,                 1.1071,                0.97322,                    0.2,                0.21812,                0.15585,                0.47752,                    0.1,                 0.0514,                0.02527,                    nan,                 3.5176,                    nan,                    nan,               0.001298,               0.001298,               0.001298
                      8,                 1.1199,                 3.1857,                 1.5513,                 1.1078,                0.95024,                    0.2,                0.21701,                0.14513,                0.86249,                    0.1,                 0.0999,                0.03043,                    nan,                  3.703,                    nan,                    nan,              0.0014705,              0.0014705,              0.0014705
                      9,                 1.1552,                 3.3296,                 1.7077,                  1.117,                0.93014,                    0.2,                0.29697,                0.17915,                0.58679,                    0.1,                0.08529,                0.02583,                    nan,                 3.3016,                    nan,                    nan,               0.001639,               0.001639,               0.001639
                     10,                 1.1972,                 2.8528,                 1.6582,                  1.132,                0.79167,                    0.2,                0.20976,                0.14332,                0.39914,                    0.1,                0.10254,                0.02978,                    nan,                 3.3711,                    nan,                    nan,              0.0018036,              0.0018036,              0.0018036
