                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3526,                 3.3164,                 3.8842,                 1.1244,                0.00368,                      1,                0.48602,                0.18438,                0.00368,                      1,                0.69595,                 0.6888,                    nan,                0.44718,                    nan,                    nan,                0.00018,                0.00018,                0.00018
                      2,                 1.0784,                  1.868,                 3.1507,                  1.003,                0.00368,                   0.95,                0.79725,                0.64351,                0.00368,                   0.95,                0.79725,                0.77244,                    nan,                0.34075,                    nan,                    nan,             0.00037624,             0.00037624,             0.00037624
                      3,                0.63966,                0.33415,                 1.6341,                0.85825,                0.00327,                   0.85,                0.01228,                0.00976,                0.00327,                   0.85,                0.01762,                0.01695,                    nan,                0.50183,                    nan,                    nan,             0.00056852,             0.00056852,             0.00056852
                      4,                0.63487,                0.27825,                 1.4284,                0.87495,                0.00303,                    0.8,                0.00557,                  0.005,                0.00322,                   0.85,                0.00653,                0.00589,                    nan,                0.60269,                    nan,                    nan,             0.00075683,             0.00075683,             0.00075683
                      5,                0.58989,                0.62549,                 1.3769,                0.87269,                0.00299,                    0.8,                0.66207,                 0.6094,                0.00337,                    0.9,                0.66834,                0.66499,                    nan,                  1.977,                    nan,                    nan,             0.00094119,             0.00094119,             0.00094119
                      6,                0.58562,                0.25269,                 1.3731,                0.85052,                0.00293,                    0.8,                0.79531,                0.74089,                0.00329,                    0.9,                0.79837,                0.77962,                    nan,                 2.6362,                    nan,                    nan,              0.0011216,              0.0011216,              0.0011216
                      7,                0.58955,                0.22715,                 1.3745,                0.84554,                0.00293,                    0.8,                0.79531,                0.73808,                0.00311,                   0.85,                0.79637,                0.77275,                    nan,                  2.152,                    nan,                    nan,               0.001298,               0.001298,               0.001298
                      8,                0.55844,                0.24938,                 1.1261,                0.85299,                      1,                0.77366,                 0.7953,                0.70243,                      1,                0.77366,                 0.7953,                0.72304,                    nan,                 1.2403,                    nan,                    nan,              0.0014705,              0.0014705,              0.0014705
                      9,                  0.717,                0.36191,                 1.4754,                0.89059,                0.90284,                    0.7,                0.71977,                0.62697,                0.90284,                    0.7,                0.71977,                0.58769,                    nan,                 1.8264,                    nan,                    nan,               0.001639,               0.001639,               0.001639
                     10,                0.75453,                0.26684,                 1.3435,                0.89557,                0.00053,                   0.15,                0.01616,                0.01248,                0.00035,                    0.1,                0.01599,                0.00886,                    nan,                 6.1559,                    nan,                    nan,              0.0018036,              0.0018036,              0.0018036
                     11,                0.63785,                0.26223,                 1.1877,                0.88396,                0.98034,                    0.8,                0.79528,                0.74541,                0.98034,                    0.8,                0.79528,                0.68531,                    nan,                 1.1767,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     12,                0.62292,                0.28292,                 1.1009,                0.87829,                      1,                0.79791,                0.79528,                0.75723,                      1,                0.79791,                0.79528,                0.74169,                    nan,                 0.5511,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                     13,                0.59423,                0.18528,                   1.13,                 0.8466,                0.93851,                0.76372,                0.79234,                0.72678,                0.93851,                0.76372,                0.79234,                0.75092,                    nan,                0.31673,                    nan,                    nan,              0.0017822,              0.0017822,              0.0017822
                     14,                0.61407,                0.33018,                 1.0568,                0.87598,                0.99496,                    0.8,                0.79528,                 0.7257,                0.99496,                    0.8,                0.79601,                0.79574,                    nan,                0.20409,                    nan,                    nan,              0.0017624,              0.0017624,              0.0017624
                     15,                0.60503,                0.44874,                0.98803,                0.90057,                0.99419,                    0.8,                0.79538,                0.72498,                0.99419,                    0.8,                0.79555,                0.78854,                    nan,                0.25681,                    nan,                    nan,              0.0017426,              0.0017426,              0.0017426
                     16,                0.54741,                0.26062,                  1.057,                0.88648,                0.88093,                    0.6,                0.64587,                0.57105,                0.88093,                    0.6,                0.64616,                0.58347,                    nan,                0.53924,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     17,                0.57658,                0.21372,                0.98916,                0.88585,                0.62529,                0.16897,                0.19239,                 0.1313,                0.43045,                0.11522,                0.14745,                0.11424,                    nan,                   1.54,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     18,                0.63376,                0.30116,                0.98792,                0.89264,                0.79946,                    0.4,                0.41846,                0.38956,                0.79946,                    0.4,                0.42359,                 0.3923,                    nan,                0.24523,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     19,                0.53843,                0.22126,                  1.041,                0.83868,                      1,                0.71242,                0.75957,                0.69606,                      1,                0.75158,                0.85698,                0.76176,                    nan,                0.18273,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     20,                0.51484,                0.15809,                0.90868,                0.85785,                 0.9937,                    0.8,                0.79528,                0.70373,                 0.9937,                    0.8,                0.84171,                0.75672,                    nan,                 0.1468,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     21,                0.50182,                0.15042,                0.89497,                0.84975,                 0.9968,                    0.8,                0.79528,                0.76554,                 0.9968,                    0.8,                0.80705,                 0.7887,                    nan,                0.15926,                    nan,                    nan,              0.0016238,              0.0016238,              0.0016238
                     22,                0.56461,                0.28951,                0.97401,                0.89229,                0.99611,                    0.8,                0.79528,                0.72523,                0.99611,                    0.8,                0.80653,                0.79691,                    nan,                0.16218,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     23,                0.55156,                0.23939,                0.88247,                0.85752,                0.99626,                    0.8,                0.79539,                0.77044,                0.99626,                    0.8,                0.82733,                0.80358,                    nan,                0.15518,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
