                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1874,                 1.9892,                 2.2608,                  1.189,                0.00333,                      1,                0.05128,                0.01947,                0.00333,                      1,                0.05127,                0.02511,                    nan,                 4.7597,                    nan,                    nan,             0.00065333,             0.00065333,             0.00065333
                      2,                0.73882,                0.62599,                 1.3182,                0.90857,                 0.9847,                   0.04,                0.10825,                 0.0694,                 0.9847,                   0.04,                0.10329,                0.06954,                    nan,                0.54568,                    nan,                    nan,              0.0013069,              0.0013069,              0.0013069
                      3,                0.71979,                0.53797,                 1.1472,                0.91126,                0.24216,                   0.06,                0.31497,                0.13125,                0.28252,                   0.07,                0.38573,                0.24765,                    nan,                0.39013,                    nan,                    nan,              0.0019473,              0.0019473,              0.0019473
                      4,                0.69834,                0.43948,                 1.0525,                 0.9024,                  0.806,                   0.04,                0.51822,                0.15567,                  0.806,                   0.04,                0.33813,                0.18312,                    nan,                0.32396,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                0.63577,                0.45129,                0.90521,                0.89201,                0.48398,                   0.04,                0.27849,                0.16159,                0.48398,                   0.04,                0.27805,                0.23288,                    nan,                0.31322,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      6,                  0.678,                0.44749,                0.85195,                0.90817,                0.29198,                0.14022,                0.36842,                0.25151,                0.29198,                0.14022,                0.36842,                0.30818,                    nan,                0.34636,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                      7,                0.63352,                0.38716,                0.75569,                0.89829,                0.92545,                0.37248,                0.81582,                0.48792,                0.92545,                0.37248,                0.81551,                  0.568,                    nan,                0.28709,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                      8,                0.55902,                0.34676,                0.64869,                0.87301,                0.63956,                   0.15,                0.52329,                0.29007,                0.63956,                   0.15,                0.47178,                0.37124,                    nan,                0.30592,                    nan,                    nan,              0.0018812,              0.0018812,              0.0018812
                      9,                0.55352,                0.34395,                0.63724,                0.86682,                0.97586,                0.40433,                0.60045,                0.37664,                0.97586,                0.40433,                0.60266,                0.54222,                    nan,                0.16386,                    nan,                    nan,              0.0018614,              0.0018614,              0.0018614
                     10,                0.56534,                0.36648,                0.61191,                0.87581,                      1,                0.69053,                0.99287,                0.65056,                      1,                0.69053,                0.99287,                0.88893,                    nan,                0.23223,                    nan,                    nan,              0.0018416,              0.0018416,              0.0018416
