                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64983,                 1.0939,                 1.2036,                 1.0056,                0.97131,                0.97352,                0.99109,                0.84113,                0.96275,                0.96494,                0.97457,                0.82324,                0.61373,                 0.6539,                0.89448,                 0.9611,              0.0033236,              0.0033236,              0.0033236
                      2,                0.63879,                0.85857,                0.62547,                 0.9956,                0.97471,                0.98732,                0.99336,                0.82712,                0.96826,                 0.9806,                0.98066,                0.79615,                0.63886,                0.66547,                0.55733,                0.97146,              0.0066438,              0.0066438,              0.0066438
                      3,                0.68663,                0.87509,                0.54529,                 1.0146,                0.94846,                0.93995,                0.96834,                0.73448,                0.93907,                0.93136,                0.95132,                0.71905,                0.88047,                0.99644,                0.79064,                 1.1571,              0.0099507,              0.0099507,              0.0099507
                      4,                0.72912,                0.94618,                0.52656,                 1.0391,                   0.98,                0.97464,                0.99233,                 0.8204,                0.97175,                0.96643,                0.97862,                 0.7366,                0.69412,                0.89825,                0.50696,                 1.0167,              0.0099406,              0.0099406,              0.0099406
                      5,                0.68279,                0.87645,                0.46963,                 1.0185,                 0.9833,                0.97576,                0.99341,                0.84577,                0.97578,                 0.9683,                 0.9786,                 0.8131,                0.64065,                0.70026,                0.44552,                0.97421,              0.0099406,              0.0099406,              0.0099406
                      6,                0.64272,                0.82402,                0.43652,                0.99842,                0.99207,                0.97837,                0.98827,                0.84979,                0.98411,                0.97053,                 0.9769,                0.81545,                0.61162,                0.65835,                0.45333,                0.95891,              0.0099208,              0.0099208,              0.0099208
                      7,                0.61756,                0.80842,                0.41339,                0.98895,                0.99153,                0.98471,                0.99436,                0.86989,                0.98335,                 0.9765,                0.98242,                0.82543,                0.56973,                0.63232,                 0.3967,                0.92635,               0.009901,               0.009901,               0.009901
                      8,                0.59583,                0.76663,                0.39657,                0.98146,                0.99548,                0.98632,                0.99406,                0.87779,                0.98795,                0.97889,                0.98129,                0.84744,                0.52928,                0.58542,                0.37092,                 0.9059,              0.0098812,              0.0098812,              0.0098812
                      9,                0.58148,                0.76323,                0.38144,                0.97551,                0.99135,                0.99254,                0.99473,                 0.8979,                0.98395,                0.98345,                0.98244,                0.84984,                0.48262,                0.55644,                0.33818,                0.88917,              0.0098614,              0.0098614,              0.0098614
                     10,                0.57434,                0.74897,                 0.3747,                0.97425,                0.99322,                0.99291,                0.99435,                0.90838,                0.98762,                0.98732,                0.98999,                0.87185,                0.46965,                0.52024,                0.33022,                 0.8777,              0.0098416,              0.0098416,              0.0098416
                     11,                0.55634,                0.72133,                0.36453,                 0.9657,                0.98652,                0.98256,                0.99371,                0.89765,                0.97828,                0.97445,                0.98459,                 0.8564,                0.49528,                0.55076,                0.34731,                0.90116,              0.0098218,              0.0098218,              0.0098218
                     12,                0.54875,                0.71492,                0.36015,                 0.9625,                0.99429,                0.98769,                0.99471,                  0.911,                0.98863,                 0.9821,                0.98669,                0.87096,                0.48111,                0.51533,                0.31987,                 0.8798,               0.009802,               0.009802,               0.009802
                     13,                0.53681,                0.70379,                0.35217,                0.95681,                0.99656,                0.99291,                0.99469,                0.90787,                0.99132,                0.98769,                0.99158,                0.86853,                0.45689,                0.51561,                0.30725,                0.86895,              0.0097822,              0.0097822,              0.0097822
                     14,                0.53102,                0.69817,                0.34629,                0.95322,                0.99253,                0.99071,                0.99482,                0.92136,                0.99098,                0.98394,                 0.9936,                0.88928,                0.44308,                0.45029,                0.29411,                0.86299,              0.0097624,              0.0097624,              0.0097624
                     15,                 0.5246,                0.68077,                0.34255,                0.95105,                0.99475,                0.98951,                 0.9949,                0.92092,                0.99175,                0.98284,                0.99288,                0.88139,                0.44391,                 0.4849,                0.29242,                0.85895,              0.0097426,              0.0097426,              0.0097426
                     16,                0.51794,                0.67663,                0.33268,                0.94777,                0.99568,                0.99291,                0.99498,                0.92437,                0.99132,                0.98844,                0.99307,                0.88786,                0.42413,                0.46705,                0.28233,                0.84666,              0.0097228,              0.0097228,              0.0097228
