                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.5717,                0.82764,                 1.3316,                0.90264,                0.99999,                      1,                  0.995,                0.98497,                0.99999,                      1,                  0.995,                0.97518,                0.28752,                0.17612,                0.66039,                0.83923,              0.0033259,              0.0033259,              0.0033259
                      2,                0.41551,                0.31393,                0.58827,                 0.8384,                0.99999,                      1,                  0.995,                0.97033,                0.99999,                      1,                  0.995,                  0.965,                0.22937,                0.14884,                0.33613,                0.84674,              0.0065933,              0.0065933,              0.0065933
                      3,                0.45337,                0.30569,                0.45455,                0.85251,                0.99999,                      1,                  0.995,                0.94726,                0.99999,                      1,                  0.995,                0.98092,                0.27963,                0.12812,                0.27007,                0.84685,              0.0097947,              0.0097947,              0.0097947
                      4,                0.42257,                0.27339,                0.37692,                0.84858,                0.99999,                      1,                  0.995,                   0.96,                0.99999,                      1,                  0.995,                0.97931,                0.31174,                0.12966,                0.30148,                0.85416,               0.009703,               0.009703,               0.009703
                      5,                0.37722,                0.23548,                0.33107,                0.84154,                0.99999,                      1,                  0.995,                0.99463,                0.99999,                      1,                  0.995,                0.99119,                0.17226,                0.12405,                0.22023,                0.84537,               0.009703,               0.009703,               0.009703
                      6,                0.33701,                0.20582,                0.29161,                0.83136,                0.99999,                      1,                  0.995,                0.99368,                0.99999,                      1,                  0.995,                  0.995,                0.20787,                0.08699,                0.24232,                0.84955,               0.009604,               0.009604,               0.009604
                      7,                0.31485,                0.20095,                0.27597,                0.82836,                0.99997,                      1,                  0.995,                0.99485,                0.99997,                      1,                  0.995,                  0.995,                0.17484,                0.08522,                0.24948,                0.85547,               0.009505,               0.009505,               0.009505
                      8,                0.29521,                0.18373,                0.25977,                0.82806,                0.99999,                      1,                  0.995,                0.99249,                0.99999,                      1,                  0.995,                0.99162,                0.17989,                0.09841,                0.22117,                0.86397,               0.009406,               0.009406,               0.009406
                      9,                0.27483,                0.17912,                0.24413,                0.82191,                0.99999,                      1,                  0.995,                0.99477,                0.99999,                      1,                  0.995,                0.99495,                0.17355,                0.08491,                0.23805,                0.87356,               0.009307,               0.009307,               0.009307
                     10,                0.26693,                0.16583,                0.23561,                0.81998,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                0.99478,                0.17207,                0.07907,                0.21305,                0.85285,               0.009208,               0.009208,               0.009208
                     11,                0.25796,                0.16337,                0.22849,                0.81979,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                0.99499,                0.13244,                0.08407,                0.19966,                0.84513,               0.009109,               0.009109,               0.009109
                     12,                0.24459,                0.15398,                0.21926,                0.81656,                0.99999,                      1,                  0.995,                0.99293,                0.99999,                      1,                  0.995,                  0.995,                0.14747,                0.06956,                0.20232,                0.85193,                0.00901,                0.00901,                0.00901
                     13,                0.23584,                0.14938,                0.21124,                0.81415,                0.99999,                      1,                  0.995,                0.99496,                0.99999,                      1,                  0.995,                0.99438,                0.15345,                0.06985,                0.18226,                0.84417,               0.008911,               0.008911,               0.008911
                     14,                0.22869,                0.14568,                0.20789,                0.81473,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                0.14315,                0.07308,                0.20278,                0.85201,               0.008812,               0.008812,               0.008812
                     15,                0.22161,                0.14146,                0.20312,                0.81334,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                0.13088,                0.06983,                0.19217,                0.84317,               0.008713,               0.008713,               0.008713
                     16,                0.21871,                0.13867,                 0.1985,                0.81261,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                0.09829,                0.07499,                0.17703,                0.84388,               0.008614,               0.008614,               0.008614
                     17,                0.21314,                0.14076,                 0.1948,                0.81276,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                0.11516,                0.07406,                0.18738,                0.85741,               0.008515,               0.008515,               0.008515
                     18,                0.21058,                0.14329,                0.19323,                0.81436,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                 0.0998,                0.07279,                0.15641,                0.84718,               0.008416,               0.008416,               0.008416
                     19,                0.20558,                 0.1343,                0.18861,                0.81466,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                 0.1025,                0.06484,                0.16598,                0.85672,               0.008317,               0.008317,               0.008317
                     20,                0.19777,                0.12675,                0.18416,                0.80874,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                0.99489,                0.09665,                0.06389,                0.16894,                0.84305,               0.008218,               0.008218,               0.008218
                     21,                 0.1928,                0.12424,                 0.1798,                0.81142,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                 0.1015,                0.06197,                0.14749,                0.84736,               0.008119,               0.008119,               0.008119
                     22,                0.18933,                0.12745,                0.17721,                0.80906,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                 0.0868,                0.06228,                0.12469,                0.85941,                0.00802,                0.00802,                0.00802
                     23,                0.18831,                0.12126,                0.17759,                0.80864,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                0.10359,                0.07021,                0.13221,                0.86118,               0.007921,               0.007921,               0.007921
                     24,                0.18512,                0.12195,                 0.1715,                0.80619,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                0.09041,                0.06633,                0.15099,                0.84705,               0.007822,               0.007822,               0.007822
                     25,                0.18159,                0.11994,                0.17204,                0.80583,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                0.09596,                0.06245,                0.17917,                0.83866,               0.007723,               0.007723,               0.007723
                     26,                0.17721,                0.12213,                0.16666,                0.80506,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                0.08991,                0.06451,                0.11316,                0.85921,               0.007624,               0.007624,               0.007624
                     27,                0.17591,                0.11882,                0.16325,                0.80602,                0.99999,                      1,                  0.995,                  0.995,                0.99999,                      1,                  0.995,                  0.995,                 0.0864,                0.06308,                0.10218,                 0.8612,               0.007525,               0.007525,               0.007525
